name,team,minutes,xP,threat,bps,transfers_in,expected_goals,GW,predicted_goals
Omari Giraud-Hutchinson,Ipswich,76.72413793103448,2.2586206896551726,8.689655172413794,10.068965517241379,11318.758620689656,0.08068965517241379,23,0.001
Lucas Digne,Aston Villa,74.10344827586206,2.4310344827586206,3.4482758620689653,11.862068965517242,286154.9310344828,0.027586206896551727,23,0.001
Joe Aribo,Southampton,61.38709677419355,1.4774193548387096,6.193548387096774,12.064516129032258,2929.3548387096776,0.0867741935483871,23,0.001
Fábio Ferreira Vieira,Arsenal,0.0,0.1476190476190476,0.0,0.0,20.904761904761905,0.0,23,0.001
Guglielmo Vicario,Spurs,61.07142857142857,2.0714285714285716,0.0,10.535714285714286,58402.53571428572,0.0,23,0.001
Nathan Fraser,Wolves,0.0,0.0,0.0,0.0,4131.571428571428,0.0,23,0.001
Christian Walton,Ipswich,17.142857142857142,0.19047619047619047,0.0,2.380952380952381,716.8095238095239,0.0,23,0.001
Matthijs de Ligt,Man Utd,69.5,2.143333333333333,6.4,10.5,132182.26666666666,0.08266666666666667,23,0.001
Jack Hinshelwood,Brighton,48.6,1.6733333333333333,2.533333333333333,8.333333333333334,2640.4666666666667,0.044,23,0.001
Will Dennis,Bournemouth,0.0,-0.09523809523809523,0.0,0.0,1738.952380952381,0.0,23,0.001
Dane Scarlett,Spurs,1.2916666666666667,0.09999999999999999,0.0,0.8333333333333334,6545.625,0.0016666666666666668,23,0.001
Lewis Dunk,Brighton,65.24,1.4880000000000002,3.16,8.76,79015.64,0.0276,23,0.001
Joe Lumley,Southampton,12.857142857142858,-0.21428571428571427,0.0,1.0476190476190477,3679.2380952380954,0.0,23,0.001
Kim Ji-soo,Brentford,1.2727272727272727,0.022727272727272728,0.0,0.36363636363636365,3888.590909090909,0.0,23,0.001
Andy Irving,West Ham,6.708333333333333,0.225,0.2916666666666667,1.5833333333333333,388.7083333333333,0.005416666666666667,23,0.001
Karl Hein,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,23,0.001
Nathaniel Clyne,Crystal Palace,19.08,0.624,0.2,1.92,2036.12,0.0008,23,0.001
Saša Lukić,Fulham,65.56666666666666,1.0166666666666666,0.7,10.1,1951.9333333333334,0.03166666666666667,23,0.001
Norberto Murara Neto,Bournemouth,90.0,2.6,0.0,15.0,7562.5,0.0,23,0.001
Tyrell Malacia,Man Utd,4.5,-0.040909090909090916,0.0,0.09090909090909091,216.04545454545453,0.0,23,0.001
Lucas Tolentino Coelho de Lima,West Ham,71.48275862068965,2.079310344827586,6.793103448275862,11.275862068965518,38646.65517241379,0.17655172413793105,23,0.001
Simon Rusk,Southampton,,,,,,,23,0.001
