name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Santiago Bueno,Wolves,DEF,38,Brentford,True,-3.4,0.05,0.0,0.0,0.006594470857545343,0.048466666666666665,4,1070,1310
Mads Roerslev Rasmussen,Brentford,DEF,38,Wolves,False,0.6,0.05,0.0,0.05999999999999994,0.04559447085754531,0.045909090909090906,20,1080,1120
Trevoh Chalobah,Chelsea,DEF,38,Nott'm Forest,False,0.0,0.05,0.008117063492063491,0.008117063492063491,0.011870562127386613,0.04708333333333333,16,1150,1190
Jean-Clair Todibo,West Ham,DEF,38,Ipswich,False,0.25,0.05,0.0,0.025000000000000022,0.022844470857545356,0.04825925925925926,10,1080,1080
Kristoffer Ajer,Brentford,DEF,38,Wolves,False,0.6,0.05,0.000625,0.06062499999999994,0.04600072085754531,0.045433333333333326,20,1080,1120
Harry Maguire,Man Utd,DEF,38,Aston Villa,True,-2.5,0.05,0.001,0.0,0.006594470857545343,0.04566666666666666,2,1120,1270
Issa Diop,Fulham,DEF,38,Man City,True,-3.0,0.05,0.0038896103896103895,0.0,0.006594470857545343,0.0494074074074074,13,1150,1350
Radu Drăgușin,Spurs,DEF,38,Brighton,True,-0.7,0.05,0.0,0.0,0.006594470857545343,0.05477272727272727,5,1090,1160
Timothy Castagne,Fulham,DEF,38,Man City,True,-3.0,0.05,0.0017142857142857142,0.0,0.006594470857545343,0.05021875,13,1150,1350
Chris Richards,Crystal Palace,DEF,38,Liverpool,False,-4.55,0.05,0.005675324675324675,0.0,0.006594470857545343,0.04917241379310344,12,1140,1370
Igor Julio dos Santos de Paulo,Brighton,DEF,38,Spurs,False,-0.7,0.04,0.0,0.0,0.006594470857545343,0.04285714285714285,18,1140,1210
Axel Tuanzebe,Ipswich,DEF,38,West Ham,True,-0.75,0.04,0.0,0.0,0.006594470857545343,0.04369230769230769,19,1070,1120
Djed Spence,Spurs,DEF,38,Brighton,True,-0.7,0.04,0.0015476190476190477,0.0,0.006594470857545343,0.04143333333333333,5,1090,1160
Micky van de Ven,Spurs,DEF,38,Brighton,True,-0.7,0.04,0.0,0.0,0.006594470857545343,0.03930434782608695,5,1090,1160
Michael Keane,Everton,DEF,38,Newcastle,False,-1.8,0.04,0.001,0.0,0.006594470857545343,0.03866666666666666,15,1140,1250
Caleb Okoli,Leicester,DEF,38,Bournemouth,False,-2.9,0.04,0.001,0.0,0.006594470857545343,0.04156,3,1080,1260
Conor Coady,Leicester,DEF,38,Bournemouth,False,-2.9,0.04,0.0,0.0,0.006594470857545343,0.040074074074074074,3,1080,1260
Ben Johnson,Ipswich,DEF,38,West Ham,True,-0.75,0.04,0.0017142857142857142,0.0,0.006594470857545343,0.041296296296296296,19,1070,1120
Luke Woolfenden,Ipswich,DEF,38,West Ham,True,-0.75,0.04,0.0,0.0,0.006594470857545343,0.03791304347826086,19,1070,1120
