name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Kobbie Mainoo,Man Utd,MID,36,West Ham,True,0.15,0.1,0.0,0.015000000000000013,0.03250609149676779,0.1032,19,1120,1120
Facundo Buonanotte,Leicester,MID,36,Nott'm Forest,False,-2.2,0.1,0.007949134199134199,0.0,0.02275609149676778,0.09564285714285713,16,1080,1190
Yehor Yarmoliuk,Brentford,MID,36,Ipswich,False,1.2,0.1,0.002708333333333334,0.12270833333333334,0.10251650816343444,0.064,10,1080,1080
Yasin Ayari,Brighton,MID,36,Wolves,False,0.75,0.1,0.0001388888888888889,0.07513888888888884,0.07159636927454552,0.10490322580645162,20,1140,1120
Stephy Mavididi,Leicester,MID,36,Nott'm Forest,False,-2.2,0.1,0.003125,0.0,0.02275609149676778,0.10146666666666666,16,1080,1190
Jaden Philogene,Ipswich,MID,36,Brentford,True,-3.6,0.1,0.03965113574165298,0.0,0.02275609149676778,0.10444444444444444,4,1070,1310
Dwight McNeil,Everton,MID,36,Fulham,False,-0.35,0.1,0.005363738738738739,0.0,0.02275609149676778,0.104,9,1140,1150
Jack Hinshelwood,Brighton,MID,36,Wolves,False,0.75,0.1,0.001,0.07599999999999996,0.07215609149676774,0.09720000000000001,20,1140,1120
Jordan Ayew,Leicester,MID,36,Nott'm Forest,False,-2.2,0.1,0.0024107142857142856,0.0,0.02275609149676778,0.09644444444444444,16,1080,1190
Ethan Pinnock,Brentford,DEF,36,Ipswich,False,1.2,0.09,0.0029166666666666664,0.12291666666666666,0.08649030419087868,0.06,10,1080,1080
Kristoffer Ajer,Brentford,DEF,36,Ipswich,False,1.2,0.09,0.000625,0.120625,0.08500072085754534,0.045433333333333326,10,1080,1080
Rodrigo Bentancur,Spurs,MID,36,Crystal Palace,True,-0.1,0.09,0.0,0.0,0.02275609149676778,0.09187096774193548,7,1090,1120
Marcus Rashford,Man Utd,MID,36,West Ham,True,0.15,0.09,0.009529733424470267,0.02452973342447028,0.03870041822267346,0.09285714285714286,19,1120,1120
Nathan Collins,Brentford,DEF,36,Ipswich,False,1.2,0.09,0.006206996434937611,0.1262069964349376,0.08862901854025479,0.06,10,1080,1080
Carlos Henrique Casimiro,Man Utd,MID,36,West Ham,True,0.15,0.09,0.001,0.016000000000000014,0.03315609149676779,0.08948148148148148,19,1120,1120
Carlos Soler,West Ham,MID,36,Man Utd,False,-0.45,0.09,0.0008333333333333333,0.0,0.02275609149676778,0.08593103448275861,14,1080,1110
Sepp van den Berg,Brentford,DEF,36,Ipswich,False,1.2,0.09,0.001287878787878788,0.12128787878787878,0.08543159206966655,0.06,10,1080,1080
Jean-Ricner Bellegarde,Wolves,MID,36,Brighton,True,-1.45,0.09,0.0,0.0,0.02275609149676778,0.092,5,1070,1160
Yankuba Minteh,Brighton,MID,36,Wolves,False,0.75,0.09,0.02502930402930403,0.10002930402930399,0.08777513911581539,0.09206666666666666,20,1140,1120
Tyler Adams,Bournemouth,MID,36,Aston Villa,True,-1.6,0.09,0.0,0.0,0.02275609149676778,0.0915,2,1130,1270
Jacob Ramsey,Aston Villa,MID,36,Bournemouth,False,-0.8,0.09,0.003422619047619047,0.0,0.02275609149676778,0.087625,3,1160,1260
Harvey Barnes,Newcastle,MID,36,Chelsea,True,-2.2,0.09,0.12049534651005235,0.0,0.02275609149676778,0.0895,6,1140,1320
Archie Gray,Spurs,MID,36,Crystal Palace,True,-0.1,0.09,0.0,0.0,0.02275609149676778,0.08655172413793102,7,1090,1120
Curtis Jones,Liverpool,MID,36,Arsenal,True,0.6,0.09,0.013860660173160172,0.07386066017316012,0.07076552060932186,0.09373333333333332,1,1340,1300
Kalvin Phillips,Ipswich,MID,36,Brentford,True,-3.6,0.09,0.0011111111111111111,0.0,0.02275609149676778,0.08955555555555555,4,1070,1310
Sam Szmodics,Ipswich,MID,36,Brentford,True,-3.6,0.09,0.026244033744033737,0.0,0.02275609149676778,0.08872727272727274,4,1070,1310
